eid,doi,title,year,source,issn,volume,issue,pageRange,doctype,first_author,author_names,author_ids,affilname,affiliation_country,citedby_count,openaccess,authkeywords
2-s2.0-85150448155,10.1016/j.jobe.2023.106101,Optimal design method for photovoltaic shading devices (PVSDs) by combining geometric optimization and adaptive control model,2023,Journal of Building Engineering,,69,,,Article,Liu J.,,,South China University of Technology,China,36,0,
2-s2.0-85154620492,10.1016/j.buildenv.2023.110339,Thermal comfort and passive survivability in earthen buildings,2023,Building and Environment,03601323,238,,,Article,Ben-Alon L.,,,Columbia University,United States,67,0,
2-s2.0-85162130738,10.15627/JD.2023.2,Visual Comfort Assessment of Hospital Patient Rooms with Climate Responsive Facades,2023,Journal of Daylighting,23838701,10,1,17-30,Article,Toodekharman H.,,,University of Tehran,Iran,15,1,
2-s2.0-85156145141,10.1016/j.seta.2023.103259,Comparative analysis of different MPPT techniques using boost converter for photovoltaic systems under dynamic shading conditions,2023,Sustainable Energy Technologies and Assessments,22131388,57,,,Article,Majeed Shaikh A.,,,Sukkur IBA University,Pakistan,49,0,
2-s2.0-85149789328,10.1016/j.seta.2023.103124,Multivariate optimization towards energy balance with geometric constraints of building design and urban space intensity,2023,Sustainable Energy Technologies and Assessments,22131388,57,,,Article,Jiang M.,,,Princeton University,United States,11,0,
2-s2.0-85148855066,10.1007/s40313-023-00988-5,An Automatic Column Wiring Resistance Algorithm for Static Reconfiguration of PV Arrays and Analysis of Reconfigured T-C-T and T-T-C-L Under Dynamic Shading Conditions,2023,Journal of Control Automation and Electrical Systems,21953880,34,3,637-657,Article,Rajani K.,,,National Institute of Technology Andhra Pradesh,India,17,0,
2-s2.0-85148689706,10.1016/j.jobe.2023.105998,Near-optimal adaptive predictive control model study for roller shades in office spaces,2023,Journal of Building Engineering,,68,,,Article,Bi G.,,,South China University of Technology,China,12,0,
2-s2.0-85163711219,10.3390/buildings13061381,Exploring Energy Retrofitting Strategies and Their Effect on Comfort in a Vernacular Building in a Dry Mediterranean Climate,2023,Buildings,,13,6,,Article,Lozoya-Peral A.,,,Universitat d'Alacant,Spain,20,1,
2-s2.0-85153672084,10.1016/j.buildenv.2023.110336,"Optimizing overheating, lighting, and heating energy performances in Canadian school for climate change adaptation: Sensitivity analysis and multi-objective optimization methodology",2023,Building and Environment,03601323,237,,,Article,Baba F.M.,,,Université de Sherbrooke;Centre for Zero Energy Building Studies,Canada;Canada,49,0,
2-s2.0-85147607160,10.1016/j.jobe.2023.106043,The integrated design process of adaptive façades – A comprehensive perspective,2023,Journal of Building Engineering,,67,,,Article,Voigt M.P.,,,Universität Stuttgart,Germany,18,0,
2-s2.0-85151884739,10.1016/j.solener.2023.03.042,Comparison of control parameters for roller blinds,2023,Solar Energy,0038092X,256,,110-126,Article,Alkhatib H.,,,"Technological University Dublin;MaREI, the SFI Research Centre for Energy, Climate and Marine",Ireland;Ireland,20,1,
2-s2.0-85151018182,10.1016/j.buildenv.2023.110195,Implementation of ISO/DIS 52016-3 for adaptive façades: A case study of an office building,2023,Building and Environment,03601323,235,,,Article,Norouziasas A.,,,Norges Teknisk-Naturvitenskapelige Universitet,Norway,36,1,
2-s2.0-85151983532,10.1007/s00226-023-01464-8,Hygroscopy and adaptive architectural façades: an overview,2023,Wood Science and Technology,00437719,57,3,557-582,Review,El-Dabaa R.,,,"Heriot-Watt University, Dubai Campus",United Arab Emirates,14,1,
2-s2.0-85149867129,10.1016/j.enbuild.2023.112912,Semi-automated vs manually controlled dynamic facades: assessment through a field study on multi-domain occupant satisfaction,2023,Energy and Buildings,03787788,286,,,Article,Luna-Navarro A.,,,Department of Engineering;Faculteit Bouwkunde van de TU Delft,United Kingdom;Netherlands,11,1,
2-s2.0-85159271790,10.3390/en16093793,Energy Performance and Control Strategy for Dynamic Façade with Perovskite PV Panels—Technical Analysis and Case Study,2023,Energies,,16,9,,Article,Ożadowicz A.,,,AGH University of Krakow,Poland,9,1,
2-s2.0-85217916651,10.55670/fpll.futech.2.2.2,"Skin porosity geometry from the energy efficiency point of view; case study: an office building in Mashhad, Iran",2023,Future Technology,,2,2,11-24,Article,Khayami S.,,,Tarbiat Modares University,Iran,0,1,
2-s2.0-85147506039,10.1177/01436244231153839,Assessing the performance gap of two dynamic thermal modelling software tools when comparing with real-time data in relation to thermal loss,2023,Building Services Engineering Research and Technology,01436244,44,3,233-246,Article,Salehi B.,,,Mott MacDonald Group Limited,United Kingdom,3,2,
2-s2.0-85165363410,10.17762/ijritcc.v11i5s.7108,A Novel MPPT Technique based on Hybrid Radial Movement Optimization with Teaching Learning Based Optimization for PV System,2023,International Journal on Recent and Innovation Trends in Computing and Communication,,11,,459-476,Article,Guntupalli R.,,,Puducherry Technological University,India,0,1,
2-s2.0-85148544560,10.1016/j.enbuild.2023.112881,Multi-domain model-based control of an adaptive façade based on a flexible double skin system,2023,Energy and Buildings,03787788,285,,,Article,Catto Lucchino E.,,,Norges Teknisk-Naturvitenskapelige Universitet,Norway,27,1,
2-s2.0-85150033000,10.1016/j.buildenv.2023.110153,Significance of dynamic over static solar screens on thermal perception in perimeter offices under different sky conditions,2023,Building and Environment,03601323,234,,,Article,Naik N.S.,,,University of Oregon,United States,3,0,
2-s2.0-85144819052,10.1016/j.jobe.2022.105712,Experimental identification and verification of a moveable facade element for energy harvesting and vibration control,2023,Journal of Building Engineering,,65,,,Article,Zhang Y.,,,Brandenburg University of Technology Cottbus-Senftenberg,Germany,8,1,
2-s2.0-85144630997,10.1016/j.jobe.2022.105709,A comprehensive optimization framework for the design of high-performance building systems,2023,Journal of Building Engineering,,65,,,Article,Zeng Z.,,,Argonne National Laboratory,United States,17,0,
2-s2.0-85153778105,10.3390/en16083411,Decision Support for Defining Adaptive Façade Design Goals in the Early Design Phase,2023,Energies,,16,8,,Article,Voigt M.P.,,,Universität Stuttgart,Germany,6,1,
2-s2.0-85147606550,10.1016/j.enbuild.2023.112850,A responsive double-skin façade for the retrofit of existing buildings: Analysis on an office building in a Mediterranean climate,2023,Energy and Buildings,03787788,284,,,Article,Aruta G.,,,Università degli Studi di Napoli,Italy,31,0,
2-s2.0-85152645224,10.3390/app13074633,Kinetic Photovoltaic Facade System Based on a Parametric Design for Application in Signal Box Buildings in Switzerland,2023,Applied Sciences Switzerland,,13,7,,Article,Choi H.S.,,,Gachon University,South Korea,8,1,
2-s2.0-85157962488,10.1680/jener.21.00102,"Energy-efficient design of building facade, inspired by human skin",2023,Proceedings of Institution of Civil Engineers Energy,17514223,176,2,105-119,Article,Tafreshi F.,,,University of Kashan,Iran,2,0,
2-s2.0-85156186000,10.3390/buildings13041090,Passive Intelligent Kinetic External Dynamic Shade Design for Improving Indoor Comfort and Minimizing Energy Consumption,2023,Buildings,,13,4,,Article,Sorooshnia E.,,,Western Sydney University,Australia,12,1,
2-s2.0-85149323451,10.1016/j.ufug.2023.127886,Effect of green infrastructures supported by adaptative solar shading systems on livability in open spaces,2023,Urban Forestry and Urban Greening,16188667,82,,,Article,Palomo Amores T.R.,,,"Universidad de Sevilla, Escuela Técnica Superior de Ingeniería",Spain,39,1,
2-s2.0-85147604019,10.1016/j.buildenv.2023.110069,Why are adaptive facades not widely used in practice? Identifying ecological and economical benefits with life cycle assessment,2023,Building and Environment,03601323,232,,,Article,Borschewski D.,,,Universität Stuttgart,Germany,22,1,
2-s2.0-85144751594,10.1109/TIA.2022.3228227,Global Maximum Power Point Tracking in Dynamic Partial Shading Conditions Using Ripple Correlation Control,2023,IEEE Transactions on Industry Applications,00939994,59,2,2030-2040,Article,Mahmud S.,,,College of Engineering,United States,22,0,
2-s2.0-85151617946,10.3390/buildings13030782,Integrated Kinetic Fins for Western Facades in Territories with Low Solar Altitudes,2023,Buildings,,13,3,,Article,Fahmy M.K.,,,Capital University,Egypt,7,1,
2-s2.0-85151417516,10.3390/su15065284,AGRI|gen: Analysis and Design of a Parametric Modular System for Vertical Urban Agriculture,2023,Sustainability Switzerland,,15,6,,Article,Ghazal I.,,,An-Najah National University,Palestine,15,1,
2-s2.0-85150160176,10.3390/biomimetics8010052,Environmentally Responsive Materials for Building Envelopes: A Review on Manufacturing and Biomimicry-Based Approaches,2023,Biomimetics,,8,1,,Review,Ortega Del Rosario M.D.L.Á.,,,Universidad Tecnológica de Panamá;Sistema Nacional de Investigación (SNI),Panama;Panama,31,1,
2-s2.0-85146098882,10.1016/j.buildenv.2023.109984,Selection of spatial sensitivity curve and installation location of photosensors for daylight-linked control systems in space with dynamic shading devices,2023,Building and Environment,03601323,230,,,Article,Do C.T.,,,Hanoi University of Civil Engineering,Viet Nam,17,0,
2-s2.0-85147151982,10.1073/pnas.2210351120,Multilayered optofluidics for sustainable buildings,2023,Proceedings of the National Academy of Sciences of the United States of America,00278424,120,6,,Article,Kay R.,,,University of Toronto,Canada,14,1,
2-s2.0-85150357468,10.37934/araset.29.3.6276,Solar Responsive Facade as Siamese Cultural Aesthetic Frontage in Malaysia,2023,Journal of Advanced Research in Applied Sciences and Engineering Technology,,29,3,62-76,Article,Chuan N.S.B.S.,,,Universiti Sains Malaysia,Malaysia,3,1,
2-s2.0-85149244015,10.3390/sym15020255,Optimization Design and Trajectory Error Compensation of a Facade-Adaptive Wall-Climbing Robot,2023,Symmetry,,15,2,,Article,Zhang D.,,,Hebei University of Technology,China,17,1,
2-s2.0-85148695173,10.1089/3dp.2022.0061,Codesign of Biobased Cellulose-Filled Filaments and Mesostructures for 4D Printing Humidity Responsive Smart Structures,2023,3D Printing and Additive Manufacturing,23297662,10,1,1-14,Article,Tahouni Y.,,,Universität Stuttgart,Germany,39,1,
2-s2.0-85148008079,10.3390/su15032294,A Comparative Study on Smart Windows Focusing on Climate-Based Energy Performance and Users’ Comfort Attributes,2023,Sustainability Switzerland,,15,3,,Review,Rashidzadeh Z.,,,The University of Oklahoma,United States,42,1,
2-s2.0-85149213705,10.3390/buildings13020534,"Ensuring the Authenticity of the Conservation and Reuse of Modern Industrial Heritage Architecture: A Case Study of the Large Machine Factory, China",2023,Buildings,,13,2,,Article,Xiong X.,,,Southeast University;Universitat Politècnica de Catalunya,China;Spain,19,1,
2-s2.0-85145492526,10.1016/j.watres.2022.119410,Novel insights into the temporal molecular fractionation of dissolved black carbon at the iron oxyhydroxide - water interface,2023,Water Research,00431354,229,,,Article,Ye Y.,,,Lanzhou University,China,33,0,
2-s2.0-85142220025,10.1016/j.engstruct.2022.115152,A novel mechanism - smart morphing façade system - to mitigate wind-induced vibration of tall buildings,2023,Engineering Structures,01410296,275,,,Article,Hou F.,,,College of Engineering,United States,21,0,
2-s2.0-85142740815,10.1016/j.apenergy.2022.120360,Modelling pavement photovoltaic arrays with cellular automata,2023,Applied Energy,03062619,330,,,Article,Mao M.,,,Imperial College London,United Kingdom,10,0,
2-s2.0-85142729559,10.1016/j.enbuild.2022.112665,Thermodynamic responses of adaptive mechanisms in BiPV façade systems coupled with latent thermal energy storage,2023,Energy and Buildings,03787788,279,,,Article,Čurpek J.,,,"Brno University of Technology, Faculty of Civil Engineering;Institute of Construction and Architecture Slovak Academy of Sciences",Czech Republic;Slovakia,28,0,
2-s2.0-85140404295,10.1016/j.energy.2022.125699,Optimal energy performance of dynamic sliding and insulated shades for residential buildings,2023,Energy,03605442,263,,,Article,Krarti M.,,,University of Colorado Boulder,United States,18,0,
2-s2.0-85110797255,10.1108/SASBE-04-2021-0075,Recommended angle of a modular dynamic façade in hot-arid climate: daylighting and energy simulation,2023,Smart and Sustainable Built Environment,20466099,12,1,27-37,Article,Golzan S.S.,,,University of Art,Iran,15,0,
2-s2.0-85141579593,10.1080/19401493.2022.2142294,A novel approach to account for shape-morphing and kinetic shading systems in building energy performance simulations,2023,Journal of Building Performance Simulation,19401493,16,3,346-365,Article,Carlucci F.,,,Politecnico di Bari,Italy,17,2,
2-s2.0-85169037133,,Effects of Kinetic Façades on Energy Performance: A Simulation in Patient’s Rooms of a Hospital in Iraq,2023,Isvs E Journal,23202661,10,7,178-193,Article,Hassooni A.H.,,,University of Baghdad,Iraq,5,0,
2-s2.0-85141781427,10.1016/j.autcon.2022.104660,Flexural biomimetic responsive building façade using a hybrid soft robot actuator and fabric membrane,2023,Automation in Construction,09265805,145,,,Article,Kim M.j.,,,Ajou University,South Korea,40,0,
2-s2.0-85145713061,10.1080/13467581.2022.2160636,Improving illuminance performance by implementing a kinetic façade system: case study of office building in Dubai,2023,Journal of Asian Architecture and Building Engineering,13467581,22,5,2809-2826,Article,Taleb H.M.,,,British University in Dubai,United Arab Emirates,13,1,
2-s2.0-85143235541,10.13189/cea.2023.110122,Exploring the Impact of Kinetic Façade Environmental Control Systems in the Development of Sustainable Design: A Systematic Literature Review,2023,Civil Engineering and Architecture,23321091,11,1,268-278,Article,Khraisat D.,,,Al-Balqa Applied University,Jordan,7,1,
2-s2.0-85132763551,10.1080/17452007.2022.2085654,Integrating performance indicators in the production rules of shape-shifting grammars for architectural adaptive façade systems,2023,Architectural Engineering and Design Management,17452007,19,4,419-437,Article,El-Dabaa R.,,,Arab Academy for Science and Technology and Maritime Transport Heliopolis Campus,Egypt,2,0,
2-s2.0-85150176718,10.3389/fbuil.2023.1119696,Multi-performative façade systems: The case of real-time adaptive BIPV shading systems to enhance energy generation potential and visual comfort,2023,Frontiers in Built Environment,,9,,,Article,Biloria N.,,,University of Technology Sydney;University of Johannesburg,Australia;South Africa,32,1,
2-s2.0-85161439734,,Improving Performance of Project through Utilizing Statistical Control Chart Based on Adaptive Management and Scientific Engineering,2023,International Journal of Intelligent Systems and Applications in Engineering,,11,4s,587-593,Article,Nimr A.H.N.,,,Altinbas Universitesi,Turkey,0,0,
2-s2.0-85178041754,10.2478/rtuect-2023-0053,Revolutionizing the Building Envelope: A Comprehensive Scientific Review of Innovative Technologies for Reduced Emissions,2023,Environmental and Climate Technologies,,27,1,724-737,Article,Narbuts J.,,,Riga Technical University,Latvia,21,1,
2-s2.0-105025581407,10.58491/2735-4202.3093,The Role of Smart Mashrabiya to Provide Daylighting in Office Buildings,2023,Mej Mansoura Engineering Journal,11100923,48,2,,Article,Gad A.M.,,,Faculty of Engineering,Egypt,3,1,
2-s2.0-85146666655,10.3390/en16020832,A Parametric Design Method for the Lighting Environment of a Library Building Based on Building Performance Evaluation,2023,Energies,,16,2,,Article,Liu Q.,,,Ministry of Education of the People's Republic of China;Chang'an University,China;China,11,1,
2-s2.0-85173628216,10.1080/14786451.2023.2248514,The impact of a kinetic façade on the lighting performance and energy efficiency of a public building: the case of Dubai frame,2023,International Journal of Sustainable Energy,14786451,42,1,1317-1363,Article,Alawaysheh A.,,,British University in Dubai,United Arab Emirates,10,1,
2-s2.0-85165536780,10.1051/epjpv/2023012,Performance of PV array configurations under dynamic partial shadings,2023,EPJ Photovoltaics,,14,,,Article,Shao C.,,,Laboratoire de Génie Electrique et Electronique de Paris,France,16,1,
2-s2.0-85143384479,10.1080/13467581.2022.2145208,"Energy-efficient retrofitting with exterior shading device in hot and humid climate–case studies from fully glazed multi-storied office buildings in Chennai, India",2023,Journal of Asian Architecture and Building Engineering,13467581,22,4,2209-2223,Article,C C.,,,Dr. M.G.R Educational and Research Institute,India,17,1,
2-s2.0-85141922105,10.1016/j.jobe.2022.105535,Energy performance of integrated adaptive envelope technologies for commercial buildings,2023,Journal of Building Engineering,,63,,,Article,Dehwah A.H.A.,,,University of Colorado Boulder,United States,17,0,
2-s2.0-85141527652,10.1016/j.enbuild.2022.112637,Low-carbon assessment of building facades using dynamic CO2 intensity of electricity generation in Japan,2023,Energy and Buildings,03787788,278,,,Article,Hiyama K.,,,Meiji University,Japan,9,0,
2-s2.0-85187506554,10.47982/jfde.2023.1.03,An Evaluation Study of Shading Devices and Their Impact on the Aesthetic Perception vs. Their Energy Efficiency,2023,Journal of Facade Design and Engineering,2213302X,11,1,37-59,Article,Ibrahim A.,,,Jordan University of Science and Technology;Al Yamamah University,Jordan;Saudi Arabia,4,1,
2-s2.0-85153486181,10.1080/14626268.2023.2200770,Techno-optimism and optimization in media architecture practice and theory,2023,Digital Creativity,14626268,34,2,88-102,Article,Savić S.,,,Basel Academy of Art and Design FHNW,Switzerland,3,0,
2-s2.0-85207046420,10.24425/ace.2023.147672,Influence of anchoring and bracing system on dynamic characteristics of façade scaffolding,2023,Archives of Civil Engineering,12302945,69,4,493-506,Article,Bęc J.,,,Politechnika Lubelska,Poland,4,1,
2-s2.0-85146601788,10.3390/en16020577,"Influence of a Hybrid MPPT Technique, SA-P&O, on PV System Performance under Partial Shading Conditions",2023,Energies,,16,2,,Article,Abo-Khalil A.G.,,,University of Sharjah,United Arab Emirates,40,1,
2-s2.0-85173758593,10.3389/fmars.2023.1162896,Intermittent shading can moderate coral bleaching on shallow reefs,2023,Frontiers in Marine Science,,10,,,Article,Butcherine P.,,,Southern Cross University,Australia,25,1,
2-s2.0-85173610979,10.1155/2023/9905979,Hybrid Social Grouping Algorithm-Perturb and Observe Power Tracking Scheme for Partially Shaded Photovoltaic Array,2023,International Journal of Energy Research,0363907X,2023,,,Article,Vadivel S.,,,SRM Valliammai Engineering College,India,18,1,
2-s2.0-85137012418,10.1016/j.optcom.2022.128894,Three-dimensional holographic communication system for the metaverse,2023,Optics Communications,00304018,526,,,Article,He L.,,,Tsinghua University,China,69,0,
2-s2.0-85113152750,10.1080/13488678.2021.1961184,Sociocultural profile of Koreanized English words,2023,Asian Englishes,13488678,25,1,133-145,Article,Fayzrakhmanova Y.,,,Kamchatka State University,Russian Federation,0,0,
2-s2.0-85168155964,10.1080/15567036.2023.2245771,A Comprehensive Evaluation of Up-to-Date Optimization Algorithms on MPPT Application for Photovoltaic Systems,2023,Energy Sources Part A Recovery Utilization and Environmental Effects,15567036,45,4,10381-10407,Article,Cikan M.,,,Çukurova Üniversitesi,Turkey,9,2,
2-s2.0-85171809972,10.1590/1519-6984.274475,Foliar application of silicon sources and shading levels in Peltophorum dubium (Spreng.) Taub,2023,Brazilian Journal of Biology,15196984,83,,,Article,Trovato V.W.,,,Universidade Federal da Grande Dourados,Brazil,0,1,
2-s2.0-85142149818,10.1016/j.jobe.2022.105498,Auto-responsive technologies on opaque facades: Worldwide climatic suitability under current and future weather conditions,2023,Journal of Building Engineering,,63,,,Article,Andrade Santos R.,,,CERIS – Civil Engineering Research and Innovation for Sustainability,Portugal,7,0,
2-s2.0-85174850788,10.31545/intagr/167454,"Spectral composition of the applied radiation as a factor affecting the development, habit and yield of spring barley",2023,International Agrophysics,02368722,37,3,293-310,Article,Doroszewski A.,,,Instytut Uprawy Nawozenia i Gleboznawstwa Państwowy Instytut Badawczy,Poland,1,1,
2-s2.0-85148246406,10.13189/cea.2023.110221,A Sensitivity Analysis of Geometric Parameters of 4D-Printed Bidirectional Shape-Memory Composite in Architectural Façade Design,2023,Civil Engineering and Architecture,23321091,11,2,818-835,Article,Yi H.,,,Ajou University,South Korea,4,1,
2-s2.0-85182570322,10.7782/JKSR.2023.26.12.843,Application of Multibody Dynamics Simulation in Approximation of Rail Vehicle Dynamic Envelope,2023,Journal of the Korean Society for Railway,17386225,26,12,843-855,Article,Suthasupradit S.,,,King Mongkut's Institute of Technology Ladkrabang,Thailand,1,0,
2-s2.0-85162162220,10.34133/research.0103,Switchable Kirigami Structures as Window Envelopes for Energy-Efficient Buildings,2023,Research,20965168,6,,,Article,Yin H.,,,Huazhong University of Science and Technology,China,46,1,
2-s2.0-85166469769,10.1504/IJEHV.2023.132031,Powertrain mount layout and stiffness selection in electric vehicle application-a multi-objective approach,2023,International Journal of Electric and Hybrid Vehicles,17514088,15,2,127-150,Article,Hazra S.,,,Tata Motors Ltd,India,2,0,
2-s2.0-85173658337,10.1177/23312165231205713,"Susceptibility to Steady Noise Largely Explains Susceptibility to Dynamic Maskers in Cochlear Implant Users, but not in Normal-Hearing Listeners",2023,Trends in Hearing,,27,,,Article,Chen B.,,,"Beijing Tongren Hospital, Capital Medical University",China,4,1,
2-s2.0-85142712988,10.1016/j.est.2022.106143,Building performance simulation of a photovoltaic façade enhanced with latent heat storage: Model validation and power generation prediction,2022,Journal of Energy Storage,,56,,,Article,Čurpek J.,,,"Slovak University of Technology in Bratislava;Brno University of Technology, Faculty of Civil Engineering",Slovakia;Czech Republic,13,0,
2-s2.0-85114519423,10.1108/ECAM-05-2021-0428,4D-printed parametric façade in architecture: prototyping a self-shaping skin using programmable two-way shape memory composite (TWSMC),2022,Engineering Construction and Architectural Management,09699988,29,10,4132-4152,Article,Yi H.,,,Ajou University,South Korea,20,0,
2-s2.0-85115234714,10.1108/ECAM-05-2021-0448,Investigating the probability of designing net-zero energy buildings with consideration of electric vehicles and renewable energy,2022,Engineering Construction and Architectural Management,09699988,29,10,4061-4087,Article,Rezaei Nasab S.S.,,,"Islamic Azad University, Qazvin Branch",Iran,6,0,
2-s2.0-85147337423,10.47982/jfde.2022.powerskin.01,"Active, Passive and Cyber-Physical Adaptive Façade Strategies: a Comparative Analysis Through Case Studies",2022,Journal of Facade Design and Engineering,2213302X,10,2,1-18,Article,Böke J.,,,priedemann fassadenberatung GmbH,Germany,9,1,
2-s2.0-85144873747,10.3390/buildings12122089,Using a Biomimicry Approach in the Design of a Kinetic Façade to Regulate the Amount of Daylight Entering a Working Space,2022,Buildings,,12,12,,Article,Sankaewthong S.,,,Japan Advanced Institute of Science and Technology;Sirindhorn International Institute of Technology Thammasat University,Japan;Thailand,21,1,
2-s2.0-85131514385,10.3992/jgb.17.1.71,RESPONSIVE KINETIC FAÇADE STRATEGY AND DETERMINATION OF THE EFFECT ON SOLAR HEAT GAIN USING PARAMETRIC BIM-BASED ENERGY SIMULATION,2022,Journal of Green Building,15526100,17,1,71-88,Article,Salah F.,,,Karabük Üniversitesi,Turkey,7,0,
2-s2.0-85147755626,10.15627/JD.2022.15,Evaluation of Daylight and Glare Quality of Office Spaces with Flat and Dynamic Shading System Facades in Hot Arid Climate,2022,Journal of Daylighting,23838701,9,2,197-208,Article,Özdemir H.,,,Konya Technical University,Turkey,28,1,
2-s2.0-85144863025,10.3390/buildings12122112,"Adaptive Façades: Review of Designs, Performance Evaluation, and Control Systems",2022,Buildings,,12,12,,Review,Zhang X.,,,The University of Sydney,Australia,37,1,
2-s2.0-85138480647,10.1016/j.array.2022.100250,Power reserve control strategy of PV system for active power reserve under dynamic shading patterns,2022,Array,,16,,,Article,Verma P.,,,Punjab Engineering College (Deemed to be University),India,6,1,
2-s2.0-85136534272,10.1016/j.tws.2022.109941,Novel shading modules with buckling as driver for shape morphing,2022,Thin Walled Structures,02638231,181,,,Article,Khezri M.,,,Faculty of Engineering,Australia,10,0,
2-s2.0-85140906999,10.1016/j.buildenv.2022.109704,Modelling and validation of a single-storey flexible double-skin façade system with a building energy simulation tool,2022,Building and Environment,03601323,226,,,Article,Catto Lucchino E.,,,Norges Teknisk-Naturvitenskapelige Universitet,Norway,21,1,
2-s2.0-85138105517,10.1016/j.jobe.2022.105233,Experimental performance evaluation of a climate-responsive ventilated building façade,2022,Journal of Building Engineering,,61,,,Article,Soudian S.,,,Toronto Metropolitan University,Canada,29,0,
2-s2.0-85141649228,10.1016/j.ijleo.2022.170141,Modeling and experimental validation of matrix structure photovoltaic array reconfiguration technique to harvest maximum power under continuous dynamic shading condition,2022,Optik,00304026,271,,,Article,Anjum S.,,,"Indian Institute of Technology (Indian School of Mines), Dhanbad",India,8,0,
2-s2.0-85134237013,10.1038/s41467-022-31527-6,Decapod-inspired pigment modulation for active building facades,2022,Nature Communications,,13,1,,Article,Kay R.,,,University of Toronto,Canada,19,1,
2-s2.0-85143760432,10.3390/su142315968,"Modeling, Simulation, and Performance Analysis of a Liquid-Infill Tunable Window",2022,Sustainability Switzerland,,14,23,,Article,Wang X.,,,Shenzhen University;Shenzhen Key Laboratory of Architecture for Health & Well-being (in preparation),China;China,8,1,
2-s2.0-85132223720,10.1016/j.foar.2022.05.006,Design and mechanism of building responsive skins: State-of-the-art and systematic analysis,2022,Frontiers of Architectural Research,20952635,11,6,1151-1176,Review,Fattahi Tabasi S.,,,University of Tehran,Iran,18,1,
2-s2.0-85140907867,10.1016/j.ecmx.2022.100315,Optical evaluation of a smart transparent insulation material for window application,2022,Energy Conversion and Management X,,16,,,Article,Ming Y.,,,University of Nottingham,United Kingdom,22,1,
2-s2.0-85135907483,10.1061/(ASCE)AE.1943-5568.0000559,Performance Optimization of Building Facade Floodlighting under Dynamic Sky Luminance,2022,Journal of Architectural Engineering,10760431,28,4,,Article,Yuan J.,,,Hebei University of Technology,China,1,0,
2-s2.0-85141400171,10.1016/j.asoc.2022.109748,Combining PPO and incremental conductance for MPPT under dynamic shading and temperature,2022,Applied Soft Computing,15684946,131,,,Article,Chevtchenko S.F.,,,Universidade Federal de Pernambuco,Brazil,20,0,
2-s2.0-85143646090,10.3390/en15239214,Energy Balance Data-Based Optimization of Louver Installation Angles for Different Regions in Korea,2022,Energies,,15,23,,Article,Choe S.J.,,,Chonnam National University,South Korea,2,1,
2-s2.0-85102990809,10.1108/JCHMSD-12-2020-0174,Improvement of the cultural heritage perception potential model by the usage of eye-tracking technology,2022,Journal of Cultural Heritage Management and Sustainable Development,20441266,12,4,321-344,Article,Doğan H.A.,,,Kaunas University of Technology,Lithuania,5,0,
2-s2.0-85139353810,10.1016/j.enbuild.2022.112495,Modeling and demand-based control of responsive building envelope with integrated thermal mass and active thermal insulations,2022,Energy and Buildings,03787788,276,,,Article,He Y.,,,Tickle College of Engineering,United States,25,0,
2-s2.0-85144907737,10.3390/buildings12122236,Shape Memory Polymer Foam for Autonomous Climate-Adaptive Building Envelopes,2022,Buildings,,12,12,,Article,Walter M.,,,Fraunhofer-Institut für Angewandte Polymerforschung,Germany,10,1,
2-s2.0-105024206095,10.1007/s44150-022-00042-z,A wood-textile thermal active architectural envelope,2022,Architecture Structures and Construction,27309886,2,4,553-563,Article,Foged I.W.,,,"Royal Danish Academy – Architecture, Design, Conservation",Denmark,1,1,
2-s2.0-85140295917,10.1016/j.egyr.2022.10.222,The incidence of smart windows in building energy saving and future climate projections,2022,Energy Reports,,8,,283-289,Article,De Masi R.F.,,,Università degli Studi del Sannio,Italy,12,1,
2-s2.0-85141590648,10.1021/acs.jafc.2c05456,"Effects of Preharvest Shading on Dynamic Changes in Metabolites, Gene Expression, and Enzyme Activity of Three Tea Types during Processing",2022,Journal of Agricultural and Food Chemistry,00218561,70,45,14544-14558,Article,Shao C.,,,Hunan Agricultural University,China,26,0,
2-s2.0-85146368808,10.1145/3555568,Towards Responsive Architecture that Mediates Place: Recommendations on How and When an Autonomously Moving RoboticWall Should Adapt a Spatial Layout,2022,Proceedings of the ACM on Human Computer Interaction,,6,CSCW2,,Article,Nguyen B.V.D.,,,KU Leuven,Belgium,24,2,
2-s2.0-85136141964,10.1016/j.scs.2022.104109,Optimal design of complex dynamic shadings: Towards sustainable built environment,2022,Sustainable Cities and Society,22106707,86,,,Article,Wu H.,,,Southeast University,China,34,0,
2-s2.0-85149470400,10.3390/buildings12112017,Development of a Solar Tracking-Based Movable Louver System to Save Lighting Energy and Create a Comfortable Light Environment,2022,Buildings,,12,11,,Article,Jung S.Y.,,,Sangmyung University,South Korea,17,1,
2-s2.0-85141722871,10.3390/en15218168,"Exploring the Effects of Climate-Adaptive Building Shells: An Applicative Time-Saving Algorithm on a Case Study in Bologna, Italy",2022,Energies,,15,21,,Article,Gaspari J.,,,Alma Mater Studiorum Università di Bologna,Italy,5,1,
2-s2.0-85134890855,10.1016/j.tws.2022.109749,"Functionalising buckling for structural morphing in kinetic façades: Concepts, strategies and applications",2022,Thin Walled Structures,02638231,180,,,Article,Khezri M.,,,Faculty of Engineering,Australia,23,0,
