eid,doi,title,year,source,issn,volume,issue,pageRange,doctype,first_author,author_names,author_ids,affilname,affiliation_country,citedby_count,openaccess,authkeywords
2-s2.0-105029367098,10.1016/j.enbuild.2026.117116,A Non-Invasive stacked ensemble framework with shadow correction for Cost-Effective daylight illuminance prediction in buildings,2026,Energy and Buildings,03787788,356,,,Article,Li S.,,,Dalian Minzu University,China,0,0,
2-s2.0-105032533589,10.1016/j.jobe.2026.115816,Mimosa pudica-inspired phase change-driven reversible building facades for zero-energy thermal management,2026,Journal of Building Engineering,,123,,,Article,Li Y.,,,Chang'an University,China,0,0,
2-s2.0-105029256420,10.1016/j.applthermaleng.2026.129995,An experimental study on thermal effects in building integrated semi transparent double skin façades for a nearly zero energy building,2026,Applied Thermal Engineering,13594311,290,,,Article,Gür M.,,,Firat Üniversitesi,Turkey,3,0,
2-s2.0-105033816142,10.1007/s41024-026-00802-0,BIM-BES-based energy performance simulation of library-type buildings considering cold winter/hot summer climate regime with passive strategies,2026,Journal of Building Pathology and Rehabilitation,23653159,11,2,,Article,Aybek Özdemir D.,,,Bingöl Üniversitesi,Turkey,0,0,
2-s2.0-105037211958,10.3390/plants15081236,A Condition-Aware Shading Domain-Adaptive Framework for Robust Chlorophyll Inversion Across Shade Managements in Hopea hainanensis,2026,Plants,,15,8,,Article,Chen L.,,,Hainan Academy of Mangrove;The Innovation Platform for Academicians of Hainan Province,China;China,0,1,
2-s2.0-105037088748,10.3390/solar6020014,Dynamic Optimisation of Façade-Integrated Solar Cooling Elements: Adsorption Cooling Versus Photovoltaic Scenarios,2026,Solar,,6,2,,Article,Weber S.O.,,,Universität Stuttgart,Germany,0,1,
2-s2.0-105036827686,10.3390/automation7020050,Hierarchical Data-Driven and PSO-Based Energy Management of Hybrid Energy Storage Systems in DC Microgrids,2026,Automation,,7,2,,Article,Banka S.,,,Jawaharlal Nehru Technological University Anantapur;BVRIT Hyderabad College of Engineering for Women,India;India,1,1,
2-s2.0-105032353552,10.1016/j.jobe.2026.115775,Optimizing air-layer thickness for enhanced thermal regulation in dynamic PCM wall systems: An experimental study,2026,Journal of Building Engineering,,123,,,Article,Li W.,,,Université de Lorraine,France,1,1,
2-s2.0-105028259989,10.1109/JIOT.2026.3656347,Drone-Supervised Multimodal Sensor Fusion for Infrastructure-Based Vehicle Detection in Bird's Eye View,2026,IEEE Internet of Things Journal,,13,7,13775-13786,Article,Jahan I.A.,,,College of Engineering and Computer Science,United States,1,0,
2-s2.0-105034988107,10.21608/mid.2025.405064.3027,Emergence of multidrug resistant opportunistic pathogens: A study on Gram negative isolates from cancer patients,2026,Microbes and Infectious Diseases,26824132,7,2,1076-1084,Article,Alkilany L.F.,,,Assiut University,Egypt,0,1,
2-s2.0-105034756776,10.5935/jetia.v12i58.3207,RED-TAILED HAWK (RTH) ALGORITHM FOR OPTIMAL PV RECONFIGURATION IN IRRIGATION SYSTEMS UNDER PARTIAL SHADING CONDITIONS,2026,Journal of Engineering and Technology for Industrial Applications,,12,58,621-634,Article,Loukriz A.,,,Université des Sciences et de la Technologie Houari Boumediene,Algeria,0,1,
2-s2.0-105027730165,10.1016/j.est.2026.120555,Replacing natural aggregates with phase change material-based 3D printed aggregates in concrete for structural function and dual thermal energy storage,2026,Journal of Energy Storage,,151,,,Article,Gencel O.,,,Bartin Üniversitesi,Turkey,1,0,
2-s2.0-105029086300,10.1016/j.enbuild.2026.117066,Self-Powered dynamic Façades using thermoelectric generators and phase change materials,2026,Energy and Buildings,03787788,355,,,Article,Mohajerzadeh Z.,,,Pennsylvania State University,United States,2,0,
2-s2.0-105028592145,10.1016/j.buildenv.2026.114295,From greenwashing to grounded practice: A context-specific biophilic design framework for hot arid climates,2026,Building and Environment,03601323,292,,,Article,Tekin B.H.,,,Sakarya Üniversitesi,Turkey,1,0,
2-s2.0-105026838347,10.1016/j.renene.2026.125193,A reinforcement learning-based Synergistic Hybrid Evolutionary Algorithm for multi-angle shipboard photovoltaic system MPPT under dynamic navigational shading,2026,Renewable Energy,09601481,260,,,Article,Xiang Q.,,,Jimei University,China,1,0,
2-s2.0-105028922736,10.1016/j.enbuild.2026.117021,Performance optimization of parametric hexagonal façade openings for natural ventilation and cooling load reduction in high-rise buildings,2026,Energy and Buildings,03787788,355,,,Article,Aeinfar S.,,,İstanbul Teknik Üniversitesi,Turkey,0,0,
2-s2.0-105033364612,10.30822/arteks.v11i1.4857,Adaptive facade systems: classification proposal and bibliometric analysis developed through systematic literature review,2026,Arteks Jurnal Teknik Arsitektur,25410598,11,1,263-276,Article,Kizilörenli E.,,,Dokuz Eylül Üniversitesi;Yaşar Üniversitesi,Turkey;Turkey,0,1,
2-s2.0-105034324352,10.3390/su18063052,Daylight Evaluation of Static and Kinetic Horizontal Shading Systems for Sustainable Visual Comfort: Experimental Illuminance Measurements and Calibrated Simulation,2026,Sustainability Switzerland,,18,6,,Article,Brzezicki M.,,,Politechnika Wrocławska,Poland,0,1,
2-s2.0-105030487037,10.1016/j.rineng.2026.109601,The FlectoLine module: Transferring glass fiber-reinforced polymer/elastomer hybrid composites to responsive architectural outdoor applications,2026,Results in Engineering,,29,,,Article,Born L.,,,Universität Stuttgart,Germany,1,1,
2-s2.0-105034142621,10.3390/biomimetics11030222,Challenging the Biomimetic Promise 2.0: Negative Spillover of Bio-Inspired Versus Sustainability Framing on Public Perceptions of Bio-Inspired Technologies,2026,Biomimetics,,11,3,,Article,Fenn J.,,,Universität Freiburg,Germany,0,1,
2-s2.0-105032754558,10.3390/buildings16051048,Optimizing Thermal–Daylight Performance of South-Facing High-Rise Apartment Rooms Using Slat-Based Shading Devices in Tropical Regions,2026,Buildings,,16,5,,Article,Hong Y.,,,Universiti Kebangsaan Malaysia;Chongqing University of Science and Technology,Malaysia;China,0,1,
2-s2.0-105032553659,10.11591/ijpeds.v17.i1.pp343-358,Development of numerical model-based photovoltaic emulator for half-cut cell PV panel with multiple peaks output characteristics curve emulation capability,2026,International Journal of Power Electronics and Drive Systems,20888694,17,1,343-358,Article,Lee J.S.Z.,,,UCSI University,Malaysia,0,1,
2-s2.0-105027735625,10.1016/j.enbuild.2026.116974,Thermal performance and climate adaptability of a Double-Glazed moss living wall,2026,Energy and Buildings,03787788,354,,,Article,Chen Q.,,,Huazhong University of Science and Technology,China,0,0,
2-s2.0-105033891051,10.1016/j.istruc.2026.111089,Dynamic performance of façade systems during lifting and transportation in prefabricated modules,2026,Structures,,85,,,Article,Hajirezaei R.,,,Western Sydney University,Australia,1,1,
2-s2.0-105032795359,10.3390/plants15050717,Desert Physio-Ecological Adaptation of Amorpha fruticosa to Dynamic Shading Under Photovoltaic Panels in a Sandy Region,2026,Plants,,15,5,,Article,Liu L.,,,Neimenggu Agricultural University,China,0,1,
2-s2.0-105034087910,10.3390/sci8030053,"Multi-Criteria Evaluation of Cooling-Oriented Envelope Retrofit Technologies for Energy, Thermal Comfort and Cost Performance",2026,Sci,,8,3,,Article,Kitsopoulou A.,,,School of Mechanical Engineering - NTUA,Greece,1,1,
2-s2.0-105032665560,10.3390/su18052467,A Performance-Based Methodology for Retrofitting Buildings Guided by Visual Comfort,2026,Sustainability Switzerland,,18,5,,Article,Caccia G.,,,Politecnico di Milano,Italy,0,1,
2-s2.0-105032667262,10.3390/su18052379,Integrating Generative Design and Artificial Intelligence for Optimized Energy-Efficient Composite Facades in Next-Generation Smart Buildings,2026,Sustainability Switzerland,,18,5,,Article,Al-Jamal M.Q.,,,Jadara University,Jordan,1,1,
2-s2.0-105034380016,10.1007/s42247-026-01355-1,Multi-scale characterization of acacia gum as an alternative plant-based biopolymer binder for CO2 sequestering earthen soil composites,2026,Emergent Materials,25225731,9,1-3,,Article,Yousaf A.,,,"Hamad Bin Khalifa University, College of Science and Engineering",Qatar,0,0,
2-s2.0-105027279474,10.1016/j.enbuild.2025.116940,Integrating greenery systems and active insulation into adaptive building envelopes for enhanced sustainability and thermal resilience,2026,Energy and Buildings,03787788,354,,,Article,He Y.,,,Tickle College of Engineering,United States,0,0,
2-s2.0-105034355708,10.3390/architecture6010032,From Urban Heat Islands to Resilient Cities: A Conceptual Framework for Resilient and Sustainable Urban Environments,2026,Architecture,,6,1,,Review,Mendis A.P.K.D.,,,Westford University College,United Arab Emirates,0,1,
2-s2.0-105021091145,10.1007/s00004-025-00848-6,"Geometric Feasibility of Kinetic Islamic Geometric Patterns: A Case Study of Ten-Point star Configurations in Five Mosques in Isfahan, Iran",2026,Nexus Network Journal,15905896,28,1,89-119,Article,Nazarzadeh Ansaroudi F.,,,The University of Adelaide,Australia,0,0,
