eid,doi,doi_url,title,source
2-s2.0-85012260247,,,Use of kinetic facades to enhance daylight performance in office buildings with emphasis on Egypt climates,Journal of Engineering and Applied Science
2-s2.0-84936869055,,,Polar method to design foldable plate structures,Journal of the International Association for Shell and Spatial Structures
2-s2.0-84928104984,,,Textile and film based building envelopes - Lightweight and adaptive,Journal of the International Association for Shell and Spatial Structures
2-s2.0-84917736224,,,Next-generation smart building using eco-friendly responsive kinetic facade,Icic Express Letters
2-s2.0-85048315643,,,Parametric BIM-based Energy Simulation for Buildings with Complex Kinetic Façades,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-84966644085,,,Dynamic faÇades: Exploring responsive building skins in a comprehensive design studio,44th Ases National Solar Conference Solar 2015 Expanding Horizons Shaping the New Energy Economy
2-s2.0-84976439530,,,Simulation driven design for kinetic system; optimize kaleidocycle façade configuration for daylighting adequacy in hot arid climates,14th International Conference of Ibpsa Building Simulation 2015 Bs 2015 Conference Proceedings
2-s2.0-85046073479,,,A Design Framework and a Digital Toolset Supporting the Early-Stage Explorations of Responsive Kinetic Building Skin Concepts,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-84936096856,,,Phototropism of tensile façade system through material agency,Caadria 2015 20th International Conference on Computer Aided Architectural Design Research in Asia Emerging Experiences in the Past Present and Future of Digital Architecture
2-s2.0-84970016205,,,A second skin for responsive chemical biological protection,Fiber Society 2015 Fall Meeting and Technical Conference Fibers Where Tradition Meets Innovation
2-s2.0-84976340671,,,The potential opaque adaptive façades for office buildings in a temperate climate,14th International Conference of Ibpsa Building Simulation 2015 Bs 2015 Conference Proceedings
2-s2.0-84976403014,,,Smart windows with dynamic spectral selectivity - A scoping study,14th International Conference of Ibpsa Building Simulation 2015 Bs 2015 Conference Proceedings
2-s2.0-84983089561,,,Influence of varying mix proportions on thermal performance of soil-cement blocks,Building Simulation Applications
2-s2.0-85051341139,,,Coupling dynamic energy and daylighting simulations for complex fenestration systems,Building Simulation Applications
2-s2.0-84939481406,,,Control of wind-induced motion of tall buildings using smart façade systems,Electronic Journal of Structural Engineering
2-s2.0-84976413619,,,Daylighting as a sustainable approach for high-rise office in tropics,Proceedings of the 26th International Business Information Management Association Conference Innovation Management and Sustainable Economic Competitive Advantage from Regional Development to Global Growth Ibima 2015
2-s2.0-84983132737,,,Towards an integrated decision tool for evaluation of energy performance during building and plant design,Eg ICE 2015 22nd Workshop of the European Group of Intelligent Computing in Engineering
2-s2.0-84937400597,,,Development of a modeling strategy for adaptive multifunctional solar energy building envelope systems,Simulation Series
2-s2.0-85114434219,,,Thermal Activated Envelope A Method and Model for Embedding Behaviour in a Responsive Envelope by Bi-Materials,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
