eid,recovered_doi,doi_url,title,source,match_method,title_sim,year_diff
2-s2.0-85120787117,10.7712/120121.8602.18826,https://doi.org/10.7712/120121.8602.18826,Adaptive bending-active modules for a tensile solar shading system,Compdyn Proceedings,enriched_oa,1.0,0
2-s2.0-85104637043,10.52842/conf.caadria.2021.1.451,https://doi.org/10.52842/conf.caadria.2021.1.451,The synergy of building massing and facade: An evo-devo approach for performance-based design optimization combining facade design with building massing,Projections Proceedings of the 26th International Conference of the Association for Computer Aided Architectural Design Research in Asia Caadria 2021,enriched_oa,1.0,0
2-s2.0-85133611540,10.24154/jhs.v16i2.986,https://doi.org/10.24154/jhs.v16i2.986,Phytoremediation of indoor air pollutants: Harnessing the potential of plants beyond aesthetics,Journal of Horticultural Sciences,enriched_oa,1.0,0
2-s2.0-85097335556,10.13140/rg.2.2.19636.72327,https://doi.org/10.13140/rg.2.2.19636.72327,The adaptive envelope and its role in providing improvements for high-rise buildings performance,Journal of Engineering and Applied Science,enriched_oa,1.0,0
2-s2.0-85097526375,10.21533/pen.v8.i3.1222,https://doi.org/10.21533/pen.v8.i3.1222,Designing a dynamic fenestration to improve visual performance in educational spaces using daylight,Periodicals of Engineering and Natural Sciences,enriched_oa,1.0,0
2-s2.0-85085959535,10.52842/conf.caadria.2020.1.035,https://doi.org/10.52842/conf.caadria.2020.1.035,Thermo-shading: Digital design and additive manufacturing of SMP prototypes,Re Anthropocene Design in the Age of Humans Proceedings of the 25th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2020,enriched_oa,1.0,0
2-s2.0-85104924617,10.52842/conf.acadia.2020.1.360,https://doi.org/10.52842/conf.acadia.2020.1.360,Adaptive textile facades through the integration of shape memory alloy,Proceedings of the 40th Annual Conference of the Association for Computer Aided Design in Architecture Distributed Proximities Acadia 2020,enriched_oa,1.0,0
2-s2.0-85128206398,10.52842/conf.ecaade.2020.2.641,https://doi.org/10.52842/conf.ecaade.2020.2.641,Extending the Passive Actuation of Low-tech Architectural Adaptive Systems by Integrating Hygroscopic and Thermal Properties of Wood,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,enriched_oa,1.0,0
2-s2.0-85091330349,10.52842/conf.caadria.2020.1.223,https://doi.org/10.52842/conf.caadria.2020.1.223,Hygro-compliant: Responsive architecture with passively actuated compliant mechanisms,Re Anthropocene Design in the Age of Humans Proceedings of the 25th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2020,enriched_oa,1.0,0
2-s2.0-85096921942,10.14455/isec.res.2020.7(1).str-36,https://doi.org/10.14455/isec.res.2020.7(1).str-36,Effect of applied interior thermal insulation systems on the energy performance of a historical/contemporary masonry,3rd European and Mediterranean Structural Engineering and Construction Conference 2020 Euro Med Sec 2020,enriched_oa,1.0,0
2-s2.0-85078728789,10.18260/1-2--33053,https://doi.org/10.18260/1-2--33053,Learning modules for geometric pattern identification and mathematical modeling of facade systems,ASEE Annual Conference and Exposition Conference Proceedings,enriched_oa,1.0,1
2-s2.0-85104811493,10.26868/25222708.2019.210517,https://doi.org/10.26868/25222708.2019.210517,Optimisation of controller parameters for adaptive building envelopes through a co-simulation interface: A case study,Building Simulation Conference Proceedings,enriched_oa,1.0,1
2-s2.0-85107425675,10.26868/25222708.2019.211013,https://doi.org/10.26868/25222708.2019.211013,Occupant-centred control strategies for adaptive facades: A preliminary study of the impact of shortwave solar radiation on thermal comfort,Building Simulation Conference Proceedings,enriched_oa,0.947,1
2-s2.0-85107325243,10.26868/25222708.2019.210786,https://doi.org/10.26868/25222708.2019.210786,Occupant behavior modelling to support the development of adaptive facade control strategies,Building Simulation Conference Proceedings,enriched_oa,1.0,1
2-s2.0-85107476575,10.26868/25222708.2019.210474,https://doi.org/10.26868/25222708.2019.210474,Dynamic thermal performance metrics for adaptive building constructions,Building Simulation Conference Proceedings,enriched_oa,1.0,1
2-s2.0-85097978241,10.26868/25222708.2019.210898,https://doi.org/10.26868/25222708.2019.210898,Subjective and measured evidence for residential lighting metrics in the tropics,Building Simulation Conference Proceedings,enriched_oa,1.0,1
2-s2.0-85107417277,10.26868/25222708.2019.211405,https://doi.org/10.26868/25222708.2019.211405,"EN ISO 52016-1: The new international standard to calculate building energy needs for heating and cooling, internal temperatures and heating and cooling load",Building Simulation Conference Proceedings,enriched_oa,1.0,1
2-s2.0-85074447310,10.2749/newyork.2019.0767,https://doi.org/10.2749/newyork.2019.0767,Kinetic architecture application at the shed at Hudson yards,20th Congress of IABSE New York City 2019 the Evolving Metropolis Report,enriched_oa,1.0,0
2-s2.0-85056656080,10.22360/simaud.2018.simaud.010,https://doi.org/10.22360/simaud.2018.simaud.010,Multivalent analysis of double-­skin envelope dynamic hygrothermal louver system,Simulation Series,enriched_oa,1.0,0
2-s2.0-85056076637,10.52842/conf.caadria.2018.2.185,https://doi.org/10.52842/conf.caadria.2018.2.185,Modulating natural ventilation to enhance resilience through modifying nozzle profiles: Exploring rapid prototyping through 3D-printing,Caadria 2018 23rd International Conference on Computer Aided Architectural Design Research in Asia Learning Prototyping and Adapting,enriched_oa,1.0,0
2-s2.0-85127834047,10.52842/conf.ecaade.2018.1.605,https://doi.org/10.52842/conf.ecaade.2018.1.605,Kinetic Architecture Reinterpreting Persian Mathematics and Astronomy,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,enriched_oa,1.0,0
2-s2.0-85030535920,10.18260/1-2--28052,https://doi.org/10.18260/1-2--28052,Comparative analysis of technologies used in responsive building facades,ASEE Annual Conference and Exposition Conference Proceedings,enriched_oa,1.0,1
2-s2.0-85127839403,10.52842/conf.ecaade.2017.2.231,https://doi.org/10.52842/conf.ecaade.2017.2.231,Kinetic Shading System as a means for Optimizing Energy Load A Parametric Approach to Optimize Daylight Performance for an Office Building in Rome,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,enriched_oa,1.0,0
2-s2.0-85061365436,10.22360/simaud.2017.simaud.023,https://doi.org/10.22360/simaud.2017.simaud.023,Geometry-material coordination for passive adaptive solar morphing envelopes,Simulation Series,enriched_oa,1.0,0
2-s2.0-85127871191,10.52842/conf.ecaade.2017.2.165,https://doi.org/10.52842/conf.ecaade.2017.2.165,Sun Shades About Designing Adaptable Solar Facades,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,enriched_oa,1.0,0
2-s2.0-85061370026,10.22360/simaud.2017.simaud.027,https://doi.org/10.22360/simaud.2017.simaud.027,Assisting the development of innovative responsive façade elements using building performance simulation,Simulation Series,enriched_oa,1.0,0
2-s2.0-85020429698,10.1108/ohi-01-2017-b0003,https://doi.org/10.1108/ohi-01-2017-b0003,A comparative study of the building energy performance of thermotropic windows,Open House International,enriched_oa,1.0,0
2-s2.0-85127848453,10.52842/conf.ecaade.2017.1.327,https://doi.org/10.52842/conf.ecaade.2017.1.327,ROAMNITURE Multi-Stable Soft Robotic Structures,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,enriched_oa,1.0,0
2-s2.0-85021767299,10.52842/conf.caadria.2017.521,https://doi.org/10.52842/conf.caadria.2017.521,Prototyping responsive carrier-component envelopes,Caadria 2017 22nd International Conference on Computer Aided Architectural Design Research in Asia Protocols Flows and Glitches,enriched_oa,1.0,0
2-s2.0-84973538521,10.52842/conf.caadria.2016.259,https://doi.org/10.52842/conf.caadria.2016.259,Adaptive building facade optimisation : An integrated Green-BIM approach,Caadria 2016 21st International Conference on Computer Aided Architectural Design Research in Asia Living Systems and Micro Utopias Towards Continuous Designing,enriched_oa,1.0,0
2-s2.0-84973526839,10.52842/conf.caadria.2016.425,https://doi.org/10.52842/conf.caadria.2016.425,Adaptive decorative building skin,Caadria 2016 21st International Conference on Computer Aided Architectural Design Research in Asia Living Systems and Micro Utopias Towards Continuous Designing,enriched_oa,1.0,0
2-s2.0-85127769591,10.52842/conf.ecaade.2016.1.639,https://doi.org/10.52842/conf.ecaade.2016.1.639,Material Active Geometry Constituting Programmable Materials for Responsive Building Skins,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,enriched_oa,1.0,0
2-s2.0-85127763144,10.52842/conf.ecaade.2016.1.529,https://doi.org/10.52842/conf.ecaade.2016.1.529,Using Tensegrity and Folding to Generate Soft Responsive Architectural Skins,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,enriched_oa,1.0,0
2-s2.0-85018960635,10.1016/j.proeng.2016.08.031,https://doi.org/10.1016/j.proeng.2016.08.031,Kinetic roof structure: Msheireb heart of Doha,IABSE Congress Stockholm 2016 Challenges in Design and Construction of an Innovative and Sustainable Built Environment,enriched_oa,1.0,0
2-s2.0-85127753607,10.52842/conf.ecaade.2016.1.213,https://doi.org/10.52842/conf.ecaade.2016.1.213,Magnet-based Interactive Kinetic Bricks,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,enriched_oa,1.0,0
2-s2.0-85046073479,10.52842/conf.ecaade.2015.2.715,https://doi.org/10.52842/conf.ecaade.2015.2.715,A Design Framework and a Digital Toolset Supporting the Early-Stage Explorations of Responsive Kinetic Building Skin Concepts,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,enriched_oa,1.0,0
2-s2.0-84976403014,10.26868/25222708.2015.2185,https://doi.org/10.26868/25222708.2015.2185,Smart windows with dynamic spectral selectivity - A scoping study,14th International Conference of Ibpsa Building Simulation 2015 Bs 2015 Conference Proceedings,enriched_oa,1.0,0
2-s2.0-84937400597,10.5555/2873021.2873027,https://doi.org/10.5555/2873021.2873027,Development of a modeling strategy for adaptive multifunctional solar energy building envelope systems,Simulation Series,enriched_oa,1.0,0
2-s2.0-85037166977,10.52842/conf.acadia.2014.281,https://doi.org/10.52842/conf.acadia.2014.281,Harvest shade screens programming material for optimal energy building skins,Acadia 2014 Design Agency Proceedings of the 34th Annual Conference of the Association for Computer Aided Design in Architecture,enriched_oa,1.0,0
2-s2.0-84901823324,10.5555/2664323.2664329,https://doi.org/10.5555/2664323.2664329,Acacia: A simulation platform for highly responsive smart facades,Simulation Series,enriched_oa,1.0,0
2-s2.0-85030536726,10.52842/conf.ecaade.2014.2.179,https://doi.org/10.52842/conf.ecaade.2014.2.179,Designing Resilient Buildings with Emergent Materials,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,enriched_oa,1.0,0
2-s2.0-84904627935,10.52842/conf.caadria.2014.931,https://doi.org/10.52842/conf.caadria.2014.931,Analysing and visualizing the moving mechanisms of kinetic architecture,Rethinking Comprehensive Design Speculative Counterculture Proceedings of the 19th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2014,enriched_oa,1.0,0
2-s2.0-84886676476,10.26868/25222708.2013.1400,https://doi.org/10.26868/25222708.2013.1400,Occupant-proof buildings: Can we design buildings that are robust against occupant behaviour?,Proceedings of Bs 2013 13th Conference of the International Building Performance Simulation Association,enriched_oa,1.0,0
2-s2.0-84886712908,10.26868/25222708.2013.1000,https://doi.org/10.26868/25222708.2013.1000,Mechanical cooling energy reduction for commercial buildings in hot climates: Effective use of external solar shading incorporating effects on daylight contribution,Proceedings of Bs 2013 13th Conference of the International Building Performance Simulation Association,enriched_oa,1.0,0
2-s2.0-84884551487,10.1108/ohi-03-2013-b0003,https://doi.org/10.1108/ohi-03-2013-b0003,Mass-customized net energy-positive housing for the great lakes region,Open House International,enriched_oa,1.0,0
2-s2.0-84881176254,10.1201/b15320-75,https://doi.org/10.1201/b15320-75,Dynamic behaviour of flexible facade systems in tall buildings subjected to wind loads,From Materials to Structures Advancement Through Innovation Proceedings of the 22nd Australasian Conference on the Mechanics of Structures and Materials Acmsm 2012,enriched_oa,1.0,1
2-s2.0-85138413676,10.1201/b15267-165,https://doi.org/10.1201/b15267-165,An innovative proposal for a deployable shading system,Structures and Architecture New Concepts Applications and Challenges,enriched_oa,1.0,0
2-s2.0-84876850882,10.5555/2500004.2500006,https://doi.org/10.5555/2500004.2500006,Evaluating the performance robustness of fixed and movable shading devices against diverse occupant behaviors,Simulation Series,enriched_oa,1.0,0
2-s2.0-84876865688,10.5555/2500004.2500022,https://doi.org/10.5555/2500004.2500022,Simulating nonlinear nano-to-micro scaled material properties and effects at the architectural scale,Simulation Series,enriched_oa,1.0,0
2-s2.0-84876820824,10.5555/2500004.2500018,https://doi.org/10.5555/2500004.2500018,Choreographic architecture: Inscribing instructions in an auxetic based material system,Simulation Series,enriched_oa,1.0,0
2-s2.0-84904633574,10.52842/conf.acadia.2013.437,https://doi.org/10.52842/conf.acadia.2013.437,Kinetic architecture matrix,Acadia 2013 Adaptive Architecture Proceedings of the 33rd Annual Conference of the Association for Computer Aided Design in Architecture,enriched_oa,1.0,0
2-s2.0-84875251530,10.52842/conf.caadria.2012.253,https://doi.org/10.52842/conf.caadria.2012.253,Envelope tesselation with stochastic rotation of 4-fold penttiles,Beyond Codes and Pixels Proceedings of the 17th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2012,enriched_oa,1.0,0
2-s2.0-84875265672,10.52842/conf.caadria.2012.465,https://doi.org/10.52842/conf.caadria.2012.465,Responsive architectural surface design from nonlinear systems biology: Responsive architectural design by computational methods,Beyond Codes and Pixels Proceedings of the 17th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2012,enriched_oa,0.917,0
2-s2.0-84893266540,10.4017/gt.2012.11.02.519.00,https://doi.org/10.4017/gt.2012.11.02.519.00,An integrated automatic wall concreting system,2012 Proceedings of the 29th International Symposium of Automation and Robotics in Construction Isarc 2012,enriched_oa,1.0,0
2-s2.0-85048345811,10.52842/conf.acadia.2012.401,https://doi.org/10.52842/conf.acadia.2012.401,An exploration into computational optimization for motive architecture,Acadia 2012 Synthetic Digital Ecologies Proceedings of the 32nd Annual Conference of the Association for Computer Aided Design in Architecture,enriched_oa,1.0,0
2-s2.0-84873864839,10.18086/swc.2011.17.30,https://doi.org/10.18086/swc.2011.17.30,Affect: Adaptive fenestration for emission-free cladding technology,30th Ises Biennial Solar World Congress 2011 Swc 2011,enriched_oa,1.0,0
2-s2.0-84855426634,10.1145/2024156.2024218,https://doi.org/10.1145/2024156.2024218,Adaptive partitioning of urban facades,Proceedings of the 2011 SIGGRAPH Asia Conference SA 11,enriched_oa,1.0,0
2-s2.0-84863734969,10.22260/isarc2011/0043,https://doi.org/10.22260/isarc2011/0043,HVAC integrated control for energy saving and comfort enhancement,Proceedings of the 28th International Symposium on Automation and Robotics in Construction Isarc 2011,enriched_oa,1.0,0
2-s2.0-79959579260,10.5281/zenodo.1072214,https://doi.org/10.5281/zenodo.1072214,Evaluation of the energy performance of shading devices based on incremental costs,World Academy of Science Engineering and Technology,enriched_oa,1.0,0
2-s2.0-80053018888,10.52842/conf.acadia.2010.243,https://doi.org/10.52842/conf.acadia.2010.243,Performative responsive architecture powered by climate,Life in Formation on Responsive Information and Variations in Architecture Proceedings of the 30th Annual Conference of the Association for Computer Aided Design in Architecture Acadia 2010,enriched_oa,1.0,0
2-s2.0-84858839195,10.52842/conf.acadia.2007.182,https://doi.org/10.52842/conf.acadia.2007.182,Rapid Craft: Material experiments towards an integrated sensing skin system,Expanding Bodies Art Cities Environment Proceedings of the Acadia 2007 Conference,enriched_oa,1.0,0
2-s2.0-84858806571,10.52842/conf.acadia.2007.284,https://doi.org/10.52842/conf.acadia.2007.284,Evolving cooperative behaviour in a reflexive membrane,Expanding Bodies Art Cities Environment Proceedings of the Acadia 2007 Conference,enriched_oa,1.0,0
2-s2.0-0041592505,10.1109/mwsym.2003.1212484,https://doi.org/10.1109/mwsym.2003.1212484,A novel behavorial model of power amplifier based on a dynamic envelope gain approach for the system level simulation and design,IEEE MTT S International Microwave Symposium Digest,enriched_oa,1.0,0
2-s2.0-0031635886,10.1109/iscas.1998.694438,https://doi.org/10.1109/iscas.1998.694438,Efficient approach to noise suppression in adaptive filtering subject to output envelope constraints,Proceedings IEEE International Symposium on Circuits and Systems,enriched_oa,0.923,0
2-s2.0-0029721340,10.1061/40177(207)125,https://doi.org/10.1061/40177(207)125,First Mars outpost architectural study,Proceedings of the International Conference on Engineering Construction and Operations in Space,enriched_oa,1.0,0
2-s2.0-0029212466,10.2172/1416948,https://doi.org/10.2172/1416948,Design and evaluation of integrated envelope and lighting control strategies for commercial buildings,ASHRAE Transactions,enriched_oa,0.923,0
2-s2.0-84963565522,10.2312/eggh/eggh94/058-069,https://doi.org/10.2312/eggh/eggh94/058-069,A Scalable Architecture for Volume Rendering,Eggh 1994 Eurographics Workshop on Graphics Hardware 1994,enriched_oa,1.0,0
2-s2.0-85107338842,10.26868/25222708.2019.210635,https://doi.org/10.26868/25222708.2019.210635,Evaluation of post processing analysis to determine optimal thermo-optical properties for adaptive glazing systems with quick adaptation speed,Building Simulation Conference Proceedings,fresh_oa,1.0,1
