eid,doi,doi_url,title,source
2-s2.0-85104812806,10.1080/17508975.2021.1902257,https://doi.org/10.1080/17508975.2021.1902257,"Adaptive building envelope simulation in current design practice: findings from interviews with practitioners about their understanding of methods, tools and workarounds and implications for future tool developments",Intelligent Buildings International
2-s2.0-85108286145,10.1080/17452007.2021.1941739,https://doi.org/10.1080/17452007.2021.1941739,Hybrid kinetic facade: fabrication and feasibility evaluation of full-scale prototypes,Architectural Engineering and Design Management
2-s2.0-85140846809,10.1080/23744731.2022.2122675,https://doi.org/10.1080/23744731.2022.2122675,"Design, fabrication and computational simulation of a bio-kinetic façade inspired by the mechanism of the Lupinus Succulentus plant for daylight and energy efficiency",Science and Technology for the Built Environment
2-s2.0-85101859685,10.1080/17508975.2021.1872478,https://doi.org/10.1080/17508975.2021.1872478,A data-driven optimized daylight pattern for responsive facades design,Intelligent Buildings International
2-s2.0-85062514750,10.1080/17508975.2019.1577213,https://doi.org/10.1080/17508975.2019.1577213,Technologies used in responsive facade systems: a comparative study,Intelligent Buildings International
2-s2.0-85129230713,10.1080/00038628.2022.2063248,https://doi.org/10.1080/00038628.2022.2063248,Dynamic solar screens for high-performance buildings–a critical review of perforated external shading systems,Architectural Science Review
2-s2.0-85124269240,10.1080/17452007.2022.2032576,https://doi.org/10.1080/17452007.2022.2032576,Advanced control strategy to maximize view and control discomforting glare: a complex adaptive façade,Architectural Engineering and Design Management
2-s2.0-85101834662,10.1080/17452007.2021.1891858,https://doi.org/10.1080/17452007.2021.1891858,Classification criteria and markers for biomimetic building envelope within circular economy principles: a critical review,Architectural Engineering and Design Management
2-s2.0-85125244497,10.1080/13467581.2021.2007102,https://doi.org/10.1080/13467581.2021.2007102,Harvesting renewable energies through innovative kinetic honeycomb architectural facades: the mathematical & CFD modeling for wind turbine design optimization,Journal of Asian Architecture and Building Engineering
2-s2.0-85106260631,10.1080/17452007.2021.1926898,https://doi.org/10.1080/17452007.2021.1926898,Low-energy cooling and ventilation refurbishments for buildings in a Mediterranean climate,Architectural Engineering and Design Management
2-s2.0-85128902624,10.1080/23744731.2021.2021742,https://doi.org/10.1080/23744731.2021.2021742,Fast simulation of dynamic heat transfer through building envelopes via parareal algorithms,Science and Technology for the Built Environment
2-s2.0-85106286476,10.1080/00038628.2021.1924610,https://doi.org/10.1080/00038628.2021.1924610,Urban heat-mitigating building form and façade framework,Architectural Science Review
