eid,doi,doi_url,title,source
2-s2.0-85194749202,10.1117/12.3010949,https://doi.org/10.1117/12.3010949,Robust Control of Friction-Driven Reconfigurable Adaptive Structures,Proceedings of SPIE the International Society for Optical Engineering
2-s2.0-85207520247,10.1049/icp.2024.2682,https://doi.org/10.1049/icp.2024.2682,ENERGY ANALYSIS OF BUILDINGS WITH LARGE GLAZED SURFACES,Iet Conference Proceedings
2-s2.0-85213308925,10.5109/7323364,https://doi.org/10.5109/7323364,Optimizing Building Envelope Features: Towards Climate Responsive Energy Efficient Buildings in Hot Climates,International Exchange and Innovation Conference on Engineering and Sciences
2-s2.0-85192763646,10.14455/isec.2024.11(1).aae-10,https://doi.org/10.14455/isec.2024.11(1).aae-10,"KINETIC ARCHITECTURE AS A RESPONSE TO ADAPTIVE BEHAVIOR TO CLIMATE, A CASE STUDY THROUGH VIRTUAL MODELS",Proceedings of International Structural Engineering and Construction
2-s2.0-105027925874,10.71846/18-wcee-2656,https://doi.org/10.71846/18-wcee-2656,SEISMIC VULNERABILTY OF MASONRY CHURCH FACADES,World Conference on Earthquake Engineering Proceedings
2-s2.0-85196731286,10.52842/conf.caadria.2024.3.121,https://doi.org/10.52842/conf.caadria.2024.3.121,"3D PRINTING SELF-SHADING WALL STRUCTURE WITH EARTH: Enhancing thermal properties in Earthen Architecture through Computational tool path design, inspired by nature & vernacular architecture",Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia
2-s2.0-85217816030,10.18086/swc.2023.06.04,https://doi.org/10.18086/swc.2023.06.04,MULTI-OBJECTIVE OPTIMIZATION OF BUILDING ENVELOPE FOR DAYLIGHT AND ENERGY PERFORMANCE IN HOT AND DRY INDIAN CLIMATE,Proceedings Ises Solar World Congress 2023 Swc 2023
2-s2.0-85196720354,10.52842/conf.caadria.2024.3.253,https://doi.org/10.52842/conf.caadria.2024.3.253,A METHOD FOR DESIGNING A BREATHING MODULAR WALL,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia
2-s2.0-85209791827,10.52842/conf.ecaade.2024.1.283,https://doi.org/10.52842/conf.ecaade.2024.1.283,Maximizing Solar Energy Harvesting of the Kinetic Photovoltaic System,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-85178051226,10.1063/5.0171316,https://doi.org/10.1063/5.0171316,Hygrothermal Assessment of a Façade with ETICS Using Dynamic Monitoring and Numerical Simulation in a Real Case Study,Aip Conference Proceedings
2-s2.0-85179555847,10.1063/5.0176121,https://doi.org/10.1063/5.0176121,Wind turbine dynamic shading: The effects on combined solar and wind farms,Journal of Renewable and Sustainable Energy
2-s2.0-85198731386,10.1115/1.4056928,https://doi.org/10.1115/1.4056928,Computational Design of Multi-State Lattice Structures With Finite Mechanisms for Shape Morphing,Journal of Mechanical Design
2-s2.0-85217916651,10.55670/fpll.futech.2.2.2,https://doi.org/10.55670/fpll.futech.2.2.2,"Skin porosity geometry from the energy efficiency point of view; case study: an office building in Mashhad, Iran",Future Technology
2-s2.0-85148695173,10.1089/3dp.2022.0061,https://doi.org/10.1089/3dp.2022.0061,Codesign of Biobased Cellulose-Filled Filaments and Mesostructures for 4D Printing Humidity Responsive Smart Structures,3D Printing and Additive Manufacturing
2-s2.0-85197195065,10.52842/conf.caadria.2023.1.493,https://doi.org/10.52842/conf.caadria.2023.1.493,PARAMETRIC DESIGN AND ANALYSIS OF DYNAMIC LOUVER FOR OPTIMIZED DAYLIGHTING IN HIGH-RISE OFFICE BUILDINGS,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia
2-s2.0-85191187291,10.63044/s23hum57,https://doi.org/10.63044/s23hum57,The Impact of Thermally Adaptive Light Louvers Attached to Clerestories on Indoor Natural-Light Performance during the Winter Season,ASHRAE Transactions
2-s2.0-85185394858,10.1115/imece2023-113117,https://doi.org/10.1115/imece2023-113117,"INTELLIGENT FACADE INNOVATION (IFI): USING IIOT, DIGITAL TWIN, AND NEXT-GEN ARCHITECTURE DESIGNS",ASME International Mechanical Engineering Congress and Exposition Proceedings Imece
2-s2.0-85197184816,10.52842/conf.caadria.2023.1.199,https://doi.org/10.52842/conf.caadria.2023.1.199,OPTIMISING THE CONTROL STRATEGIES FOR PERFORMANCEDRIVEN DYNAMIC BUILDING FACADES USING MACHINE LEARNING,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia
2-s2.0-85178041754,10.2478/rtuect-2023-0053,https://doi.org/10.2478/rtuect-2023-0053,Revolutionizing the Building Envelope: A Comprehensive Scientific Review of Innovative Technologies for Reduced Emissions,Environmental and Climate Technologies
2-s2.0-85191183630,10.63044/s23alm58,https://doi.org/10.63044/s23alm58,Improving the Performance of Thin-Film BIPV Using Thermally-Adaptive Composite Materials,ASHRAE Transactions
2-s2.0-85207046420,10.24425/ace.2023.147672,https://doi.org/10.24425/ace.2023.147672,Influence of anchoring and bracing system on dynamic characteristics of façade scaffolding,Archives of Civil Engineering
2-s2.0-85171749239,10.52202/069179-0511,https://doi.org/10.52202/069179-0511,USING CO-DESIGN FOR DEVELOPING A NEW WOODEN FAÇADE SYSTEM,13th World Conference on Timber Engineering Wcte 2023
2-s2.0-85171879026,10.52842/conf.ecaade.2023.1.439,https://doi.org/10.52842/conf.ecaade.2023.1.439,4D Printing of Hygroscopic Wood Based Actuators for Climate Responsive Skin,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-85151798422,10.2298/tsci2302007c,https://doi.org/10.2298/tsci2302007c,THE HVAC MODEL PREDICTIVE CONTROL OF BUILDING THERMAL DYNAMIC CHARACTERISTICS,Thermal Science
2-s2.0-85172442884,10.52842/conf.ecaade.2023.2.791,https://doi.org/10.52842/conf.ecaade.2023.2.791,Utilizing Web Applications for Developing Digital Twin: Case study urban tunnel with kinetic roof,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-85114519423,10.1108/ecam-05-2021-0428,https://doi.org/10.1108/ecam-05-2021-0428,4D-printed parametric façade in architecture: prototyping a self-shaping skin using programmable two-way shape memory composite (TWSMC),Engineering Construction and Architectural Management
2-s2.0-85115234714,10.1108/ecam-05-2021-0448,https://doi.org/10.1108/ecam-05-2021-0448,Investigating the probability of designing net-zero energy buildings with consideration of electric vehicles and renewable energy,Engineering Construction and Architectural Management
2-s2.0-85163680546,10.1115/1.4056394,https://doi.org/10.1115/1.4056394,Assessment of Dynamic Photovoltaic Shading Systems on Energy Performance of Commercial Buildings,Journal of Engineering for Sustainable Buildings and Cities
2-s2.0-85130135255,10.1108/arch-09-2021-0255,https://doi.org/10.1108/arch-09-2021-0255,The FIX-up mix-up; undue façadism or adaptive reuse? Examining the former FIX brewery transformation into the National Museum of Contemporary Art in Athens,Archnet Ijar International Journal of Architectural Research
2-s2.0-85141817744,10.1115/1.4054775,https://doi.org/10.1115/1.4054775,A Comparative Energy Analysis of Dynamic External Shadings for Office Buildings,Journal of Engineering for Sustainable Buildings and Cities
2-s2.0-85102566878,10.1108/ecam-07-2020-0559,https://doi.org/10.1108/ecam-07-2020-0559,ANP model for evaluating the performance of adaptive façade systems in complex commercial buildings,Engineering Construction and Architectural Management
2-s2.0-85183757871,10.52842/conf.caadria.2022.1.141,https://doi.org/10.52842/conf.caadria.2022.1.141,MACHINE LEARNING MODELING AND GENETIC OPTIMIZATION OF ADAPTIVE BUILDING FAÇADE TOWARDS THE LIGHT ENVIRONMENT,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia
2-s2.0-85169066096,10.52842/conf.caadria.2022.1.151,https://doi.org/10.52842/conf.caadria.2022.1.151,REINFORCEMENT LEARNING-BASED GENERATIVE DESIGN METHODOLOGY FOR KINETIC FACADE,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia
2-s2.0-85142865625,10.2749/nanjing.2022.1046,https://doi.org/10.2749/nanjing.2022.1046,Moveable Facade Elements for Sustainable High-rise Buildings,IABSE Congress Nanjing 2022 Bridges and Structures Connection Integration and Harmonisation Report
2-s2.0-85132073479,10.14627/537724064,https://doi.org/10.14627/537724064,Hybrid Landscapes of India: Communicators Between the Worlds,Journal of Digital Landscape Architecture
2-s2.0-85132177960,10.1117/12.2612851,https://doi.org/10.1117/12.2612851,Kinetic Bistable Flaps Actuated with Magneto-Active Elastomers,Proceedings of SPIE the International Society for Optical Engineering
2-s2.0-85176505484,10.13124/9788860461919_06,https://doi.org/10.13124/9788860461919_06,Implementation and Calibration of a Model to Treat Naturally Ventilated Complex Fenestration Systems in TRNSYS,Building Simulation Applications
